Temps (s),Résistance (Ohms),Température (°C)
0.9784154891967773,9351.49,26.54
1.9917821884155273,9351.49,26.54
3.0053584575653076,9351.49,26.54
4.018707990646362,9388.15,26.45
5.031932353973389,9351.49,26.54
6.045306921005249,9351.49,26.54
7.058674573898315,9278.59,26.72
8.071374416351318,9278.59,26.72
9.08511471748352,9278.59,26.72
10.098494291305542,9206.25,26.9
11.111693143844604,9170.28,26.99
12.125359773635864,9098.76,27.17
13.138566493988037,9098.76,27.17
14.151690006256104,9027.77,27.35
15.164488077163696,8957.31,27.53
16.17811393737793,8957.31,27.53
17.19110631942749,8852.6,27.8
18.20401406288147,8817.96,27.89
19.217996835708618,8783.44,27.98
20.23099970817566,8714.8,28.17
21.244691133499146,8612.77,28.44
22.257826805114746,8579.01,28.53
23.271027326583862,8511.86,28.71
24.284520149230957,8445.2,28.9
25.29809546470642,8412.05,28.99
26.31020951271057,8379.02,29.08
27.324772596359253,8313.32,29.26
28.337607622146606,8280.65,29.36
29.350915670394897,8248.09,29.45
30.364125967025757,8151.13,29.73
31.377519845962524,8087.06,29.91
32.390610694885254,8055.2,30.0
33.40383458137512,8023.45,30.1
34.41732096672058,7928.87,30.37
35.43054223060608,7897.57,30.47
36.4439058303833,7804.32,30.75
37.45719623565674,7773.45,30.84
38.47080421447754,7742.69,30.93
39.483465909957886,7681.5,31.12
40.49664354324341,7620.73,31.31
41.50993037223816,7590.5,31.4
42.52338671684265,7530.36,31.59
43.53637385368347,7470.64,31.78
44.55017328262329,7411.32,31.97
45.56267237663269,7411.32,31.97
46.57649350166321,7381.82,32.06
47.58968210220337,7323.11,32.25
48.60334062576294,7293.9,32.35
49.616549491882324,7235.79,32.54
50.62992262840271,7206.88,32.64
51.64315342903137,7206.88,32.64
52.65609073638916,7149.36,32.83
53.669657468795776,7063.8,33.11
54.68294954299927,7035.47,33.21
55.69633197784424,7007.24,33.31
56.70936608314514,6979.1,33.4
57.722670555114746,6951.05,33.5
58.73625183105469,6923.1,33.6
59.74904727935791,6839.8,33.89
60.76269268989563,6812.22,33.98
61.77564454078674,6784.73,34.08
62.78903031349182,6757.33,34.18
63.80241775512695,6730.02,34.27
64.81578540802002,6675.66,34.47
65.82915449142456,6621.67,34.66
66.84237551689148,6594.8,34.76
67.85556030273438,6568.03,34.86
68.86883091926575,6541.33,34.96
69.8818302154541,6488.21,35.16
70.89555168151855,6435.44,35.35
71.9085054397583,6435.44,35.35
72.92231965065002,6383.0,35.55
73.93527793884277,6356.91,35.65
74.94920682907104,6330.9,35.75
75.9619882106781,6279.13,35.95
76.97485089302063,6279.13,35.95
77.98877549171448,6227.7,36.15
79.00178217887878,6202.1,36.25
80.01500630378723,6151.16,36.45
81.02838468551636,6125.81,36.55
82.04110717773438,6100.54,36.65
83.05506443977356,6050.24,36.85
84.06820368766785,6050.24,36.85
85.08141422271729,6025.2,36.96
86.09477758407593,6000.25,37.06
87.10776448249817,6000.25,37.06
88.12175679206848,5975.38,37.16
89.13454389572144,5925.86,37.36
90.1476399898529,5901.22,37.46
91.16162014007568,5876.66,37.57
92.17393779754639,5852.17,37.67
93.1877326965332,5827.76,37.77
94.20101761817932,5803.42,37.87
95.2140953540802,5754.98,38.08
96.22732305526733,5754.98,38.08
97.2409839630127,5730.87,38.18
98.25405383110046,5682.87,38.39
99.26756620407104,5658.98,38.49
100.28077507019043,5658.98,38.49
101.2940092086792,5635.17,38.6
102.30655074119568,5611.43,38.7
103.3206238746643,5587.76,38.81
104.33456444740295,5564.17,38.91
105.34721684455872,5540.64,39.01
106.36058568954468,5517.19,39.12
107.3738067150116,5517.19,39.12
108.38710522651672,5493.81,39.22
109.40041518211365,5447.26,39.43
110.41371250152588,5447.26,39.43
111.42670273780823,5424.1,39.54
112.4397132396698,5401.0,39.65
113.45378828048706,5377.97,39.75
114.46681904792786,5377.97,39.75
115.48022842407227,5332.13,39.96
116.49341750144958,5309.31,40.07
117.50682377815247,5286.56,40.18
118.5200686454773,5263.87,40.28
119.53338646888733,5241.26,40.39
120.54633617401123,5196.23,40.61
121.55981516838074,5196.23,40.61
122.57321739196777,5196.23,40.61
123.58564925193787,5151.48,40.82
124.59984397888184,5129.2,40.93
125.61286091804504,5106.98,41.04
126.6264181137085,5106.98,41.04
127.63972210884094,5106.98,41.04
128.6531641483307,5084.84,41.15
129.66573786735535,5084.84,41.15
130.67928194999695,5062.76,41.26
131.6928129196167,5062.76,41.26
132.70543766021729,5018.79,41.47
133.71868014335632,5018.79,41.47
134.73326563835144,4996.9,41.58
135.7457685470581,4975.08,41.69
136.75923657417297,4975.08,41.69
137.77267050743103,4931.63,41.91
138.78575658798218,4931.63,41.91
139.79919743537903,4910.0,42.02
140.8124315738678,4888.43,42.14
141.8258020877838,4866.93,42.25
142.83902645111084,4866.93,42.25
143.8523530960083,4845.49,42.36
144.86633920669556,4845.49,42.36
145.87971138954163,4824.11,42.47
146.89197850227356,4802.79,42.58
147.90533089637756,4802.79,42.58
148.91839718818665,4781.54,42.69
149.93221235275269,4739.22,42.92
150.94510340690613,4739.22,42.92
151.95903277397156,4718.15,43.03
152.97201991081238,4718.15,43.03
153.98441410064697,4697.14,43.14
154.99882173538208,4676.19,43.25
156.0114688873291,4676.19,43.25
157.02565169334412,4634.47,43.48
158.03837513923645,4634.47,43.48
159.05193638801575,4634.47,43.48
160.06504440307617,4613.71,43.6
161.07842016220093,4593.0,43.71
162.0916771888733,4572.35,43.82
163.1039958000183,4551.76,43.94
164.1183726787567,4531.23,44.05
165.13136196136475,4510.76,44.17
166.14483404159546,4510.76,44.17
167.158043384552,4510.76,44.17
168.17130756378174,4490.34,44.28
169.18495893478394,4449.69,44.51
170.19754123687744,4469.99,44.4
171.211003780365,4469.99,44.4
172.22445964813232,4469.99,44.4
173.2376799583435,4449.69,44.51
174.25089478492737,4449.69,44.51
175.26429057121277,4389.14,44.86
176.27770495414734,4409.26,44.75
177.29085421562195,4389.14,44.86
178.30407905578613,4369.07,44.98
179.31710743904114,4349.06,45.1
180.33119940757751,4329.1,45.22
181.34389781951904,4329.1,45.22
182.35726118087769,4329.1,45.22
183.37044525146484,4329.1,45.22
184.38379645347595,4329.1,45.22
185.39670276641846,4289.35,45.45
186.40995287895203,4309.2,45.33
187.42353343963623,4289.35,45.45
188.43690991401672,4269.57,45.57
189.4501495361328,4269.57,45.57
190.46351838111877,4249.83,45.69
191.4767405986786,4230.15,45.81
192.48954367637634,4230.15,45.81
193.50328850746155,4249.83,45.69
194.51696395874023,4210.53,45.93
195.52975869178772,4190.96,46.05
196.54314017295837,4190.96,46.05
197.55599427223206,4151.99,46.29
198.56955885887146,4171.45,46.17
199.58300137519836,4171.45,46.17
200.5958230495453,4151.99,46.29
201.60939121246338,4171.45,46.17
202.62273812294006,4151.99,46.29
203.63577508926392,4132.58,46.41
204.64909601211548,4113.23,46.53
205.66255378723145,4113.23,46.53
206.67574453353882,4113.23,46.53
207.6891644001007,4093.93,46.65
208.7017331123352,4093.93,46.65
209.7151837348938,4093.93,46.65
210.72901010513306,4093.93,46.65
211.74221181869507,4055.5,46.89
212.75488114356995,4055.5,46.89
213.76852893829346,4055.5,46.89
214.78158497810364,4036.36,47.02
215.79492235183716,4036.36,47.02
216.80862665176392,4055.5,46.89
217.82145476341248,4036.36,47.02
218.83502459526062,4036.36,47.02
219.84814882278442,4017.27,47.14
220.86171007156372,4017.27,47.14
221.87486147880554,3998.24,47.26
222.88823437690735,3979.26,47.38
223.901460647583,3960.33,47.51
224.91406083106995,3998.24,47.26
225.92816758155823,3941.45,47.63
226.94126319885254,3941.45,47.63
227.95448756217957,3941.45,47.63
228.9678602218628,3941.45,47.63
229.98182678222656,3922.63,47.76
230.9939365386963,3941.45,47.63
232.0081925392151,3922.63,47.76
233.02065300941467,3922.63,47.76
234.03348088264465,3903.85,47.88
235.0481128692627,3885.13,48.0
236.06069159507751,3866.46,48.13
237.0745816230774,3885.13,48.0
238.0873122215271,3885.13,48.0
239.09999799728394,3866.46,48.13
240.1131453514099,3847.84,48.26
241.12715125083923,3847.84,48.26
242.13972187042236,3829.27,48.38
243.1534731388092,3829.27,48.38
244.16642379760742,3810.75,48.51
245.1799614429474,3810.75,48.51
246.1932396888733,3792.28,48.63
247.2066729068756,3810.75,48.51
248.21992778778076,3792.28,48.63
249.23334860801697,3792.28,48.63
250.24631142616272,3792.28,48.63
251.2597279548645,3755.49,48.89
252.2729890346527,3755.49,48.89
253.28637194633484,3755.49,48.89
254.29959678649902,3737.17,49.02
255.31280493736267,3737.17,49.02
256.32597041130066,3718.89,49.14
257.3393621444702,3718.89,49.14
258.352374792099,3700.67,49.27
259.365558385849,3700.67,49.27
260.37962079048157,3700.67,49.27
261.3922772407532,3700.67,49.27
262.4056704044342,3700.67,49.27
263.41876673698425,3700.67,49.27
264.4321873188019,3664.38,49.53
265.44569659233093,3682.5,49.4
266.45875811576843,3682.5,49.4
267.4716730117798,3682.5,49.4
268.48545026779175,3664.38,49.53
269.49830889701843,3682.5,49.4
270.5114827156067,3664.38,49.53
271.52493929862976,3682.5,49.4
272.5377688407898,3646.3,49.66
273.5516986846924,3646.3,49.66
274.5653393268585,3646.3,49.66
275.57814049720764,3646.3,49.66
276.5913760662079,3646.3,49.66
277.60462474823,3664.38,49.53
278.6180965900421,3646.3,49.66
279.6310486793518,3646.3,49.66
280.6450822353363,3610.29,49.92
281.6567506790161,3628.27,49.79
282.67018580436707,3628.27,49.79
283.6845214366913,3610.29,49.92
284.6978929042816,3610.29,49.92
285.71075439453125,3610.29,49.92
286.7243332862854,3610.29,49.92
287.7368116378784,3592.36,50.05
288.75093364715576,3574.48,50.18
289.763712644577,3556.64,50.31
290.7770485877991,3556.64,50.31
291.79076290130615,3556.64,50.31
292.8034014701843,3538.86,50.44
293.8171820640564,3556.64,50.31
294.83001041412354,3521.12,50.58
295.8426339626312,3521.12,50.58
296.856796503067,3521.12,50.58
297.8703875541687,3485.77,50.84
298.8834774494171,3521.12,50.58
299.89632177352905,3503.42,50.71
300.90985131263733,3485.77,50.84
301.92359232902527,3503.42,50.71
302.9367389678955,3485.77,50.84
303.9491925239563,3485.77,50.84
304.9627721309662,3485.77,50.84
305.9765200614929,3485.77,50.84
306.9892506599426,3485.77,50.84
308.0030496120453,3450.62,51.11
309.01640367507935,3485.77,50.84
310.0287115573883,3450.62,51.11
311.0431938171387,3468.17,50.98
312.0562369823456,3468.17,50.98
313.06943464279175,3450.62,51.11
314.08283853530884,3450.62,51.11
315.09581232070923,3450.62,51.11
316.10927295684814,3468.17,50.98
317.12226819992065,3433.11,51.24
318.1354966163635,3415.65,51.38
319.14863324165344,3415.65,51.38
320.1619281768799,3415.65,51.38
321.1754217147827,3398.24,51.51
322.1890904903412,3415.65,51.38
323.2022123336792,3380.87,51.65
324.21508836746216,3398.24,51.51
325.22852182388306,3398.24,51.51
326.241934299469,3380.87,51.65
327.25546622276306,3380.87,51.65
328.2687156200409,3363.54,51.79
329.28153562545776,3380.87,51.65
330.2947795391083,3346.26,51.92
331.3084955215454,3363.54,51.79
332.32135367393494,3346.26,51.92
333.3349108695984,3363.54,51.79
334.3483099937439,3363.54,51.79
335.36145520210266,3380.87,51.65
336.37484669685364,3363.54,51.79
337.3881049156189,3346.26,51.92
338.40131306648254,3329.03,52.06
339.41471242904663,3311.84,52.2
340.42817425727844,3311.84,52.2
341.44111704826355,3311.84,52.2
342.454541683197,3311.84,52.2
343.4677348136902,3329.03,52.06
344.4808895587921,3311.84,52.2
345.4944350719452,3311.84,52.2
346.5074255466461,3311.84,52.2
347.520765542984,3311.84,52.2
348.53416776657104,3294.7,52.34
349.5473802089691,3294.7,52.34
350.5608329772949,3277.6,52.47
