Temps,T1,T2,T3,Puissance
0.0013619346503979,24.9999823253909,24.9999823253909,24.9999823253909,0
2.04290197559684,24.972913601965,24.9722812403006,24.9726910825538,0
4.08580395119369,24.9457562503284,24.9454792139766,24.9454759321609,0
6.12870592679053,24.9189902289683,24.9190008809525,24.9186857853486,0
8.17160790238738,24.8926343915174,24.8928186112125,24.8923188503485,0
10.2145098779842,24.8666688329397,24.8669514112003,24.8663489606005,0
12.2574118535811,24.8410762761552,24.8414128994868,24.8407558437262,0
14.3003138291779,24.8158442760264,24.8162094496304,24.8155254066371,0
16.3432158047748,24.7909636274579,24.7913427746908,24.7906475090811,0
18.3861177803716,24.7664270674818,24.7668118780368,24.7661143542415,2
20.4290197559684,25.9216481503717,24.7426142890808,24.7419195207857,2
22.4719217315653,27.5189404809814,24.7441586779183,24.7180772526975,2
24.5148237071621,28.3689528157969,24.8489365885188,24.6962512479524,2
26.557725682759,29.0586168969577,25.0238986454787,24.6837139375137,2
28.6006276583558,29.6635427167112,25.2346747642828,24.6885944358433,2
30.6435296339527,30.2076603774067,25.4639199358598,24.715467858199,2
32.6864316095495,30.7039503171534,25.7024818614705,24.7655747834105,2
34.7293335851464,31.1611546793321,25.9452961554402,24.8380809816646,2
36.7722355607432,31.5856688198161,26.1894869794439,24.9310855049754,2
38.81513753634,31.9823932164844,26.4333921662742,25.0422510386016,2
40.8580395119369,32.3552096133687,26.6760351439424,25.169159783812,2
42.9009414875337,32.7072706347646,26.9168319509752,25.3094989899976,2
44.9438434631306,33.0411847309786,27.1554266064142,25.4611475610998,2
46.9867454387274,33.3591394161326,27.3915977567701,25.622207650033,2
49.0296474143243,33.6629869604764,27.625205279705,25.7910069656448,2
51.0725493899211,33.9543065296234,27.856159433242,25.9660864392804,2
53.115451365518,34.2344510314437,28.0844027969965,26.1461814002964,2
55.1583533411148,34.50458364212,28.3098995137195,26.3302006764984,2
57.2012553167116,34.7657070729948,28.5326287270811,26.5172059208937,2
59.2441572923085,35.0186875182864,28.752580455026,26.7063922845805,2
61.2870592679053,35.2642745561087,28.9697528961543,26.8970709064545,2
63.3299612435022,35.5031178706527,29.1841505953681,27.0886533427623,2
65.372863219099,35.7357814124067,29.3957831380778,27.2806378811352,2
67.4157651946959,35.9627554529288,29.6046641803831,27.4725975992998,2
69.4586671702927,36.1844668844944,29.810810701397,27.6641699954869,2
71.5015691458896,36.4012880417598,30.0142424090336,27.8550480115846,2
73.5444711214864,36.6135442700337,30.2149812566489,28.0449722778246,2
75.5873730970832,36.8215204254733,30.4130510431576,28.2337244218366,2
77.6302750726801,37.0254664621402,30.6084770782941,28.4211213011915,2
79.6731770482769,37.2256022366448,30.801285900177,28.6070100349908,2
81.7160790238738,37.4221216414086,30.9915050357809,28.7912637255614,2
83.7589809994706,37.6151961612365,31.1791627971494,28.973777775462,2
85.8018829750675,37.8049779342135,31.3642881077038,29.1544667176119,2
87.8447849506643,37.9916023863681,31.5469103540765,29.3332614874723,2
89.8876869262612,38.1751904997092,31.7270592596992,29.5101070759176,2
91.930588901858,38.3558507648411,31.9047647769879,29.6849605098783,2
93.9734908774549,38.5336808621787,32.0800569954619,29.8577891151421,2
96.0163928530517,38.708769109614,32.2529660635298,30.0285690220298,2
98.0592948286485,38.8811957091966,32.4235221220057,30.1972838801098,2
100.102196804245,39.0510338208422,32.5917552477046,30.3639237528226,2
102.145098779842,39.2183504871732,32.7576954056884,30.5284841669384,2
104.188000755439,39.3832074302316,32.9213724089498,30.6909652952627,2
106.230902731036,39.5456617379139,33.0828158844827,30.8513712540125,2
108.273804706633,39.705766455492,33.2420552448356,31.009709498871,2
110.31670668223,39.8635710954314,33.3991196643755,31.1659903059582,2
112.359608657826,40.0191220768924,33.5540380595964,31.3202263258733,2
114.402510633423,40.1724631046988,33.706839072894,31.4724322006162,2
116.44541260902,40.3236354962042,33.8575510593184,31.6226242346126,2
118.488314584617,40.4726784633056,34.0062020758772,31.7708201122928,2
120.531216560214,40.6196293558482,34.1528198730252,31.9170386557288,2
122.574118535811,40.7645238717899,34.2974318880239,32.0612996167338,2
124.617020511408,40.9073962387528,34.4400652399057,32.2036234986135,2
126.659922487004,41.0482793709365,34.5807467258031,32.3440314034272,2
128.702824462601,41.1872050048213,34.7195028184507,32.4825449011946,2
130.745726438198,41.3242038166036,34.8563596646828,32.619185917978,2
132.788628413795,41.4593055239085,34.9913430847797,32.753976640205,2
134.831530389392,41.5925389739535,35.1244785725368,32.8869394329548,2
136.874432364989,41.723932220048,35.2557912959463,33.0180967702568,2
138.917334340585,41.853512588046,35.385306098399,33.147471175716,2
140.960236316182,41.9813067341412,35.5130475003223,33.2750851720198,2
143.003138291779,42.1073406952039,35.6390397011877,33.4009612380797,2
145.046040267376,42.2316399326927,35.763306581829,33.5251217727328,2
147.088942242973,42.3542293710262,35.8858717070164,33.6475890640851,2
149.13184421857,42.4751334311788,36.0067583282466,33.7683852637011,2
151.174746194166,42.5943760601605,36.1259893867069,33.8875323649523,2
153.217648169763,42.7119807569456,36.2435875163874,34.005052184944,2
155.26055014536,42.8279705953353,36.3595750473046,34.1209663495078,2
157.303452120957,42.9423682441779,36.473974008822,34.2352962808307,2
159.346354096554,43.0551959853062,36.5868061330408,34.3480631873401,2
161.389256072151,43.1664757294992,36.6980928582453,34.4592880555275,2
163.432158047748,43.2762290307425,36.8078553323896,34.5689916434317,2
165.475060023344,43.3844770990135,36.9161144166105,34.6771944755431,2
167.517961998941,43.4912408117895,37.0228906887577,34.7839168389238,2
169.560863974538,43.5965407244518,37.1282044469311,34.889178780367,2
171.603765950135,43.700397079733,37.2320757130158,34.9930001044481,2
173.646667925732,43.8028298163308,37.3345242362136,35.0954003723253,2
175.689569901329,43.9038585768027,37.4355694965572,35.1963989011948,2
177.732471876925,44.0035027148304,37.5352307084098,35.2960147642883,2
179.775373852522,44.1017813019403,37.6335268239425,35.394266791339,2
181.818275828119,44.1987131337426,37.7304765365857,35.4911735694409,2
183.861177803716,44.2943167357593,37.8260982844529,35.586753444243,2
185.904079779313,44.3886103688826,37.9204102537353,35.6810245214217,2
187.94698175491,44.4816120345148,38.0134303820628,35.7740046683901,2
189.989883730507,44.573339479429,38.1051763618335,35.865711516206,2
192.032785706103,44.6638102003749,38.1956656435051,35.9561624616356,2
194.0756876817,44.7530414484743,38.2849154388545,36.0453746693635,2
196.118589657297,44.8410502334128,38.3729427241967,36.1333650742992,2
198.161491632894,44.9278533274652,38.4597642435685,36.2201503839847,2
