Temps;Consigne;Commande;T1;T2;T3;T3 estim�
720;25;0;27.83;27.89;27.29;27.52
725;25;0;27.86;27.89;27.31;27.51
730;25;0;27.83;27.86;27.31;27.51
735;25;0;27.86;27.89;27.31;27.52
740;25;0;27.83;27.86;27.27;27.52
745;25;0;27.79;27.83;27.29;27.51
750;25;0;27.79;27.86;27.27;27.52
755;25;0;27.79;27.83;27.27;27.51
760;25;0;27.83;27.86;27.29;27.49
765;25;0;27.83;27.89;27.28;27.5
770;25;0;27.83;27.89;27.29;27.49
775;25;0;27.76;27.83;27.27;27.5
780;25;0;27.83;27.89;27.31;27.51
785;25;0;27.86;27.86;27.33;27.52
