Temps (s),Température 0 (°C),Température 1 (°C),Température 2 (°C)
125.71679878234863,13.91,19.03,21.58
126.24454045295715,13.82,19.12,21.49
126.77524065971375,13.91,19.03,21.4
127.30172085762024,13.82,19.03,21.4
127.83039259910583,13.73,18.95,21.49
128.3587827682495,13.73,18.95,21.49
128.88776087760925,13.73,18.95,21.4
129.41586065292358,13.82,18.95,21.4
129.9444808959961,13.73,18.95,21.32
130.47306942939758,13.64,18.86,21.32
131.00065207481384,13.64,18.86,21.32
131.52931475639343,13.55,18.77,21.23
132.05818367004395,13.64,18.77,21.23
132.58762979507446,13.64,18.77,21.23
133.11417031288147,13.64,18.68,21.14
133.64318370819092,13.55,18.68,21.14
134.17148399353027,13.55,18.59,21.05
134.6993260383606,13.46,18.68,21.05
135.22870421409607,13.46,18.68,21.05
135.75605535507202,13.37,18.59,21.05
136.28584742546082,13.37,18.59,21.05
136.8149871826172,13.37,18.59,20.97
137.34185409545898,13.37,18.59,20.97
137.8702049255371,13.28,18.51,20.97
138.39833450317383,13.28,18.42,20.88
138.92877769470215,13.28,18.42,20.88
139.4564437866211,13.28,18.42,20.88
139.98428583145142,13.28,18.42,20.79
140.51257419586182,13.2,18.42,20.88
141.04183745384216,13.28,18.33,20.7
141.5701162815094,13.28,18.24,20.79
142.0979769229889,13.2,18.33,20.7
142.62630343437195,13.2,18.24,20.7
143.15441274642944,13.2,18.15,20.7
143.68323254585266,13.82,18.15,20.7
144.21143794059753,13.73,18.24,20.61
144.74019479751587,13.82,18.15,20.61
145.2691411972046,13.73,18.15,20.61
145.79728198051453,13.73,18.15,20.53
146.32533383369446,13.73,18.07,20.61
146.8541715145111,13.64,18.07,20.53
147.3818597793579,13.64,18.07,20.44
147.9106388092041,13.64,18.07,20.44
148.4391369819641,13.55,17.98,20.44
148.96732091903687,13.55,17.98,20.44
149.49712228775024,13.55,17.98,20.44
150.02406811714172,13.64,17.98,20.44
150.55263423919678,13.55,17.89,20.35
151.08082270622253,13.55,17.89,20.35
151.6097571849823,13.55,17.89,20.35
152.13782787322998,13.46,17.89,20.26
152.66583395004272,13.55,17.8,20.09
153.19429731369019,13.55,17.8,20.17
153.72344970703125,13.46,17.8,20.09
154.25180196762085,13.46,17.8,20.09
154.77975749969482,13.37,17.8,20.09
155.30799651145935,13.46,17.71,20.0
155.83678674697876,13.55,17.71,19.91
156.36497163772583,13.46,17.71,20.0
156.89281272888184,13.46,17.63,19.91
157.42195796966553,13.37,17.63,19.91
157.950101852417,13.37,17.63,19.91
158.47845077514648,13.37,17.63,19.91
159.00700068473816,13.28,17.63,19.82
159.53495240211487,13.28,17.54,19.74
160.06317162513733,13.28,17.54,19.74
160.59221744537354,13.28,17.54,19.91
161.12097787857056,13.28,17.54,19.74
161.6490123271942,13.2,17.54,19.74
162.17765927314758,13.2,17.54,19.74
162.70553970336914,13.2,17.45,19.65
163.2342369556427,13.2,17.54,19.74
163.76305890083313,13.11,17.45,19.65
164.29101586341858,13.11,17.45,19.65
164.8199818134308,13.11,17.36,19.56
165.34772157669067,13.11,17.36,19.56
165.8766405582428,13.2,17.36,19.47
166.4042785167694,13.02,17.36,19.56
166.9334592819214,13.11,17.36,19.56
167.46132254600525,13.02,17.27,19.56
167.99021077156067,13.02,17.27,19.47
168.51867532730103,13.02,17.19,19.56
169.04615664482117,12.93,17.27,19.38
169.57447910308838,13.02,17.19,19.38
170.10331892967224,12.93,17.27,19.38
170.63202381134033,13.02,17.19,19.3
171.16051268577576,12.93,17.1,19.3
171.68894839286804,13.02,17.1,19.3
172.21737051010132,12.93,17.1,19.38
172.7457356452942,12.84,17.1,19.3
173.27449941635132,12.93,17.1,19.3
173.80271172523499,12.93,17.1,19.3
174.33040499687195,12.93,17.01,19.21
174.8591799736023,12.84,17.01,19.3
175.38770031929016,12.93,17.01,19.21
175.91624569892883,12.84,17.01,19.21
176.44483089447021,12.75,17.01,19.21
176.97261261940002,12.75,16.92,19.21
177.50195384025574,12.84,16.92,19.12
178.0302345752716,12.84,16.92,19.12
178.55782341957092,12.84,16.92,19.12
179.08690881729126,12.84,16.92,19.12
179.6145374774933,12.75,16.92,19.12
180.14339232444763,12.75,16.92,19.03
180.67156600952148,12.84,16.83,19.03
181.20015263557434,12.66,16.83,19.03
181.72873902320862,12.75,16.83,19.03
182.25732493400574,12.75,16.83,19.03
182.78591108322144,12.75,16.83,18.95
183.31386375427246,12.66,16.83,18.95
183.8431797027588,12.66,16.75,18.95
184.37041330337524,12.75,16.66,18.95
184.89868545532227,12.57,16.66,18.95
185.42812085151672,12.66,16.66,18.95
185.9572470188141,12.57,16.66,18.95
186.4845995903015,12.66,16.66,18.77
187.01373767852783,12.57,16.66,18.86
187.54151678085327,12.57,16.66,18.86
188.0702998638153,12.57,16.66,18.77
188.59788966178894,12.57,16.57,18.77
189.12682557106018,12.48,16.57,18.77
189.65557312965393,12.57,16.57,18.68
190.18313336372375,12.57,16.57,18.68
190.7117269039154,12.48,16.48,18.77
191.24031281471252,12.57,16.57,18.77
191.768901348114,12.39,16.48,18.77
192.29748463630676,12.48,16.57,18.77
192.82607197761536,12.39,16.39,18.68
193.35356521606445,12.48,16.48,18.68
193.88225722312927,12.39,16.48,18.68
194.4111843109131,12.39,16.39,18.59
194.93946623802185,12.39,16.48,18.68
195.46774053573608,12.48,16.48,18.68
195.99629545211792,12.39,16.39,18.59
196.52462673187256,12.3,16.48,18.59
197.0534107685089,12.39,16.48,18.59
197.5819959640503,12.3,16.39,18.59
198.1101324558258,12.39,16.39,18.59
198.63895225524902,12.3,16.39,18.51
199.1668360233307,12.21,16.39,18.51
199.69542169570923,12.3,16.31,18.51
200.22396397590637,12.3,16.31,18.51
200.75161337852478,12.3,16.31,18.51
201.28053188323975,12.21,16.31,18.51
201.80911827087402,12.21,16.31,18.42
202.33750104904175,12.3,16.22,18.42
202.86542105674744,12.21,16.22,18.42
203.39446687698364,12.3,16.22,18.33
203.9230523109436,12.21,16.22,18.33
204.45064091682434,12.21,16.22,18.33
204.97922897338867,12.21,16.22,18.24
205.50781393051147,12.21,16.13,18.33
206.03696632385254,12.12,16.13,18.33
206.5645568370819,12.21,16.13,18.24
207.0938537120819,12.21,16.13,18.24
207.62144231796265,12.12,16.13,18.33
208.15002942085266,12.12,16.13,18.24
208.67861437797546,12.03,16.04,18.24
209.20698165893555,12.03,16.04,18.24
209.73581266403198,12.03,16.04,18.15
210.2631061077118,12.03,15.95,18.24
210.7923800945282,12.03,16.04,18.24
211.3204984664917,11.93,15.95,18.15
211.84939241409302,11.93,16.04,18.07
212.3789026737213,11.93,16.04,18.15
212.9072654247284,11.93,15.95,18.15
213.4351189136505,11.93,15.95,18.07
213.96311402320862,11.93,15.86,18.07
214.49058771133423,11.93,15.86,18.07
215.02036309242249,11.84,15.86,18.07
215.5482838153839,11.84,15.95,17.98
216.07655954360962,11.84,15.86,18.07
216.60531902313232,11.84,15.86,17.98
217.1338038444519,11.84,15.86,18.07
217.66320824623108,11.75,15.86,17.98
218.19132018089294,11.75,15.78,17.98
218.71800184249878,11.75,15.78,18.07
219.24774956703186,11.75,15.78,17.98
219.77621626853943,11.75,15.78,17.98
220.3040578365326,11.75,15.69,17.98
220.83214783668518,11.75,15.78,17.98
221.36164331436157,11.75,15.69,17.89
221.88923168182373,11.66,15.69,17.89
222.4180760383606,11.75,15.69,17.89
222.94697642326355,11.75,15.69,17.89
223.47512102127075,11.75,15.69,17.89
224.0023708343506,11.75,15.69,17.8
224.53125262260437,11.84,15.69,17.8
225.0605239868164,11.66,15.69,17.8
225.58977913856506,11.66,15.69,17.8
226.11770486831665,11.66,15.6,17.71
226.6454246044159,11.57,15.6,17.71
227.1739432811737,11.57,15.6,17.71
227.70212602615356,11.66,15.6,17.71
228.23086762428284,11.57,15.6,17.71
228.7601809501648,11.57,15.51,17.8
229.28782892227173,11.57,15.6,17.71
229.815997838974,11.57,15.6,17.71
230.34436702728271,11.57,15.51,17.71
230.87418270111084,11.48,15.51,17.71
231.40114903450012,11.48,15.51,17.63
231.92996740341187,11.48,15.51,17.63
232.4593653678894,11.57,15.51,17.63
232.9867148399353,11.48,15.51,17.63
233.5145812034607,11.57,15.42,17.54
234.04285550117493,11.39,15.6,17.63
234.5719771385193,11.48,15.42,17.54
235.10047602653503,11.48,15.42,17.54
235.62899327278137,11.48,15.42,17.54
236.1573212146759,11.48,15.42,17.54
236.6856210231781,11.48,15.42,17.63
237.21491408348083,11.48,15.33,17.54
237.74208402633667,11.48,15.33,17.54
238.27182412147522,11.39,15.33,17.54
238.79950952529907,11.39,15.33,17.54
239.32882022857666,11.39,15.33,17.54
239.8555383682251,11.39,15.33,17.54
240.38439989089966,11.39,15.33,17.45
240.91421627998352,11.39,15.33,17.45
241.442063331604,11.39,15.24,17.54
241.97086596488953,11.3,15.24,17.54
242.49742364883423,11.3,15.24,17.45
243.02601099014282,11.39,15.24,17.45
243.55538725852966,11.3,15.24,17.45
244.0828082561493,11.3,15.24,17.45
244.61295127868652,11.39,15.24,17.45
245.14128851890564,11.3,15.16,17.45
245.6690547466278,11.3,15.16,17.36
246.197092294693,11.3,15.16,17.45
246.72578978538513,11.3,15.16,17.36
247.25538039207458,11.3,15.16,17.36
247.78249835968018,11.21,15.07,17.36
248.31132626533508,11.3,15.16,17.36
248.84009671211243,11.21,15.07,17.36
249.36687850952148,11.3,15.07,17.27
249.89648461341858,11.21,15.07,17.36
250.42446899414062,11.21,15.16,17.27
250.95339941978455,11.3,15.07,17.36
251.48275017738342,11.3,15.07,17.36
252.0101194381714,11.3,15.07,17.27
252.5387065410614,11.21,15.07,17.36
253.06655049324036,11.21,15.07,17.27
253.59577465057373,11.21,14.98,17.27
254.12392830848694,11.21,15.07,17.27
254.65247464179993,11.3,14.98,17.27
255.1802260875702,11.21,14.98,17.19
255.70904064178467,11.21,14.98,17.19
256.2377018928528,11.21,14.98,17.19
256.76584553718567,11.21,14.98,17.19
257.29347133636475,11.21,14.98,17.1
257.82235288619995,11.21,14.89,17.19
258.35064029693604,11.21,14.89,17.19
258.87918734550476,11.21,14.98,17.19
259.40891790390015,11.12,14.89,17.19
259.9371166229248,11.12,14.89,17.19
260.46507835388184,11.12,14.89,17.1
260.9926722049713,11.03,14.89,17.1
261.52114248275757,11.03,14.8,17.1
262.05044889450073,11.12,14.8,17.1
262.5792770385742,11.03,14.8,17.01
263.1077139377594,11.03,14.8,17.01
263.6362671852112,11.12,14.89,17.1
264.16325068473816,11.03,14.8,17.01
264.6921854019165,11.03,14.89,17.01
265.2200367450714,11.12,14.8,17.01
265.7489957809448,11.12,14.8,17.01
266.277948141098,11.12,14.71,17.01
266.80575942993164,11.03,14.8,17.01
267.33481764793396,11.03,14.71,17.01
267.86359882354736,11.12,14.8,17.01
268.39049243927,11.03,14.8,17.01
268.9205894470215,11.12,14.8,16.92
269.4493818283081,11.03,14.8,16.92
269.9772455692291,11.03,14.71,16.92
270.5060784816742,11.12,14.71,16.83
271.0348856449127,11.03,14.71,16.83
271.5609474182129,11.12,14.71,16.83
272.08981561660767,11.03,14.71,16.83
272.618891954422,10.94,14.71,16.83
273.14763593673706,10.94,14.71,16.83
273.6755402088165,11.03,14.8,16.83
274.2040801048279,11.03,14.71,16.83
274.73173356056213,10.94,14.62,16.83
275.26181149482727,10.94,14.71,16.75
275.78863525390625,10.84,14.71,16.75
276.318603515625,10.94,14.71,16.75
276.8457901477814,11.03,14.71,16.66
277.37446641921997,10.94,14.71,16.66
277.90253257751465,11.03,14.71,16.75
278.43285274505615,10.94,14.71,16.75
278.96008253097534,10.94,14.62,16.66
279.4895453453064,11.03,14.62,16.75
280.01624298095703,10.94,14.71,16.66
280.5452754497528,10.94,14.62,16.75
281.07511854171753,10.94,14.62,16.66
281.6021909713745,10.84,14.62,16.75
282.13107466697693,10.84,14.62,16.66
282.6586983203888,10.94,14.53,16.75
283.1877791881561,10.94,14.62,16.66
283.7168550491333,10.94,14.62,16.66
284.2446632385254,10.84,14.62,16.75
284.7735676765442,10.84,14.53,16.66
285.3012089729309,10.84,14.53,16.66
285.82906889915466,10.75,14.53,16.66
286.35768151283264,10.84,14.62,16.75
286.88624000549316,10.75,14.53,16.66
287.4148278236389,10.75,14.53,16.66
287.94341230392456,10.84,14.53,16.66
288.4719994068146,10.75,14.45,16.66
288.99972558021545,10.84,14.45,16.66
289.5282504558563,10.75,14.45,16.66
290.0569899082184,10.84,14.53,16.57
290.58557772636414,10.84,14.45,16.57
291.1134376525879,10.75,14.45,16.57
291.64202094078064,10.75,14.45,16.57
292.1703350543976,10.75,14.45,16.57
292.698933839798,10.75,14.36,16.66
293.22720861434937,10.75,14.45,16.57
293.75532722473145,10.75,14.45,16.57
294.28383469581604,10.75,14.45,16.57
294.8139696121216,10.66,14.45,16.57
295.3424925804138,10.66,14.45,16.48
295.8702538013458,10.66,14.45,16.48
296.3977177143097,10.75,14.36,16.57
296.926641702652,10.84,14.36,16.57
297.45515632629395,10.66,14.45,16.57
297.9831602573395,10.66,14.36,16.57
298.511652469635,10.66,14.36,16.57
299.040447473526,10.66,14.36,16.57
299.5685567855835,10.57,14.36,16.57
300.0961937904358,10.66,14.27,16.48
300.62581515312195,10.66,14.36,16.48
301.1541428565979,10.66,14.45,16.48
301.6815905570984,10.66,14.36,16.48
302.21089220046997,10.57,14.36,16.48
302.74077892303467,10.57,14.36,16.48
303.2675244808197,10.57,14.27,16.48
303.7954490184784,10.57,14.36,16.48
304.32489109039307,10.57,14.36,16.48
304.8526442050934,10.57,14.27,16.48
305.3818483352661,10.66,14.27,16.48
305.91086626052856,10.66,14.27,16.48
306.43905806541443,10.57,14.27,16.48
306.9660725593567,10.48,14.27,16.48
307.4948515892029,10.48,14.18,16.48
308.0250988006592,10.57,14.18,16.48
308.5520987510681,10.48,14.18,16.39
309.08122754096985,10.57,14.18,16.39
309.6096570491791,10.57,14.18,16.39
310.1377682685852,10.57,14.27,16.39
310.66607570648193,10.57,14.27,16.39
311.19412088394165,10.57,14.18,16.31
311.72182750701904,10.57,14.18,16.31
312.25057888031006,10.57,14.27,16.39
312.7793755531311,10.57,14.18,16.31
313.3078074455261,10.57,14.18,16.39
313.83586978912354,10.57,14.18,16.31
314.3641541004181,10.57,14.18,16.31
314.89284348487854,10.48,14.18,16.39
315.42143416404724,10.48,14.18,16.31
315.95022892951965,10.57,14.18,16.31
316.4799950122833,10.48,14.18,16.31
317.0082905292511,10.48,14.18,16.31
317.5350978374481,10.48,14.18,16.31
318.06306767463684,10.57,14.18,16.31
318.591689825058,10.48,14.09,16.31
319.12002778053284,10.48,14.09,16.31
319.64921522140503,10.48,14.09,16.31
320.17706418037415,10.48,14.09,16.31
320.70625042915344,10.48,14.09,16.31
321.2347412109375,10.48,14.09,16.31
321.7621178627014,10.48,14.09,16.31
322.29064083099365,10.48,14.09,16.31
322.82055711746216,10.48,14.09,16.39
323.3482210636139,10.39,14.0,16.31
323.8764009475708,10.39,14.09,16.31
324.40536236763,10.39,14.09,16.22
324.9337317943573,10.48,14.09,16.22
325.46186089515686,10.48,14.0,16.22
325.99024987220764,10.48,14.0,16.22
326.51824593544006,10.39,14.0,16.31
327.0467474460602,10.39,14.0,16.31
327.5752992630005,10.39,14.0,16.31
328.1035723686218,10.39,14.0,16.22
328.6326587200165,10.39,14.0,16.31
329.1605894565582,10.39,14.0,16.22
329.6896643638611,10.29,14.0,16.31
330.21774554252625,10.39,14.0,16.22
330.7463688850403,10.29,14.0,16.22
331.27366852760315,10.29,14.0,16.22
331.80344009399414,10.29,14.0,16.22
332.332062959671,10.29,14.0,16.13
332.8594388961792,10.29,14.0,16.22
333.3878629207611,10.2,13.91,16.22
333.9178264141083,10.29,14.0,16.13
334.4450783729553,10.29,14.0,16.22
334.9738059043884,10.2,14.0,16.13
335.50212383270264,10.2,14.0,16.13
336.030211687088,10.29,14.0,16.13
336.55900955200195,10.2,13.91,16.04
337.086918592453,10.29,13.91,16.13
337.614985704422,10.2,13.91,16.04
338.1436595916748,10.2,14.0,16.04
338.67255091667175,10.29,13.91,16.13
339.20046758651733,10.29,13.91,16.04
339.7293322086334,10.29,13.91,16.04
340.25801062583923,10.2,13.82,16.04
340.7853744029999,10.2,13.82,15.95
341.31458163261414,10.29,13.91,15.95
341.8424105644226,10.2,13.82,16.04
342.3712282180786,10.29,13.91,15.95
342.900164604187,10.2,13.82,16.04
343.4289665222168,10.2,13.82,15.95
343.9571990966797,10.29,13.82,15.95
344.4849727153778,10.29,13.82,15.95
345.0139763355255,10.2,13.82,16.04
345.54171442985535,10.29,13.82,15.95
346.07054352760315,10.29,13.73,15.95
346.59905767440796,10.29,13.82,15.95
347.1272521018982,10.29,13.73,15.95
347.655889749527,10.2,13.82,15.95
348.1843502521515,10.29,13.73,15.95
348.7130091190338,10.29,13.73,15.95
349.24090552330017,10.29,13.73,15.95
349.76908564567566,10.2,13.73,15.86
350.2976734638214,10.2,13.73,15.95
350.8262720108032,10.11,13.73,15.86
351.3548448085785,10.2,13.73,15.95
351.88321232795715,10.2,13.73,15.95
352.412145614624,10.2,13.73,15.95
352.9401605129242,10.2,13.64,15.95
353.46811032295227,10.2,13.73,15.95
353.997038602829,10.2,13.73,15.95
354.52704763412476,10.2,13.73,15.95
355.0540361404419,10.2,13.73,15.95
355.5822639465332,10.2,13.73,15.95
356.1112666130066,10.2,13.73,15.95
356.639119386673,10.2,13.73,15.95
357.16774559020996,10.2,13.73,15.95
357.6954312324524,10.11,13.64,15.95
358.2243597507477,10.2,13.64,15.95
358.75303864479065,10.11,13.64,15.95
359.28161096572876,10.11,13.64,15.95
359.80962920188904,10.11,13.73,15.86
360.33841848373413,10.11,13.64,15.95
360.8667862415314,10.2,13.64,15.86
361.39514684677124,10.2,13.64,15.86
361.9228754043579,10.2,13.73,15.86
362.4515154361725,10.11,13.73,15.86
362.98055958747864,10.11,13.73,15.86
363.5090494155884,10.11,13.64,15.86
364.0371036529541,10.11,13.64,15.86
364.56589365005493,10.11,13.73,15.86
365.09392046928406,10.02,13.64,15.86
365.6220736503601,10.11,13.64,15.86
366.1510727405548,10.11,13.64,15.86
366.6801631450653,10.11,13.64,15.86
367.20801401138306,10.11,13.64,15.86
367.73697996139526,10.11,13.64,15.86
