Temps,Consigne,Commande,T1,T2,T3,T3 estimé
0,25,0,24.23,24.31,24.38,24.52
5,25,0,24.2,24.31,24.34,24.49
10,25,0,24.16,24.28,24.37,24.47
15,25,0,24.17,24.28,24.36,24.43
20,25,0,24.23,24.31,24.39,24.41
25,25,0,23.79,24.22,24.32,24.39
30,25,0,23.42,24.11,24.29,24.38
35,25,0,23.11,23.98,24.25,24.39
40,25,0,22.91,23.86,24.16,24.35
45,25,0,22.7,23.72,24.1,24.28
50,25,0,22.52,23.57,24.02,24.19
55,25,0,22.38,23.43,23.9,24.09
60,25,0,22.24,23.32,23.82,23.98
65,25,0,22.1,23.2,23.71,23.86
70,25,0,21.99,23.09,23.61,23.74
75,25,0,21.85,22.97,23.51,23.63
80,25,0,21.77,22.86,23.42,23.52
85,25,0,21.7,22.75,23.32,23.42
90,25,0,21.55,22.64,23.22,23.32
95,25,0,21.51,22.56,23.13,23.22
100,25,0,21.4,22.47,23.05,23.12
105,25,0,21.33,22.39,22.96,23.02
110,25,0,21.26,22.3,22.88,22.94
115,25,0,21.18,22.22,22.79,22.86
120,25,0,21.11,22.14,22.71,22.78
125,25,0,21.04,22.08,22.65,22.71
130,25,0,20.96,22,22.58,22.64
135,25,0,20.92,21.92,22.48,22.56
140,25,0,20.82,21.86,22.41,22.5
145,25,0,20.78,21.78,22.35,22.43
150,25,0,20.74,21.75,22.29,22.36
155,25,0,20.67,21.69,22.24,22.3
160,25,0,20.63,21.61,22.18,22.24
165,25,0,20.56,21.55,22.12,22.19
170,25,0,20.48,21.49,22.05,22.15
175,25,0,20.48,21.44,21.99,22.09
180,25,0,20.44,21.41,21.95,22.03
185,25,0,20.37,21.33,21.89,21.98
190,25,0,20.33,21.3,21.84,21.93
195,25,0,20.26,21.24,21.77,21.9
200,25,0,20.22,21.19,21.73,21.84
205,25,0,20.18,21.16,21.71,21.8
210,25,0,20.15,21.11,21.67,21.76
215,25,0,20.15,21.08,21.63,21.71
220,25,0,20.11,21.05,21.61,21.67
225,25,0,20.08,21.02,21.59,21.63
230,25,0,20.04,20.99,21.55,21.6
235,25,0,20,20.94,21.5,21.57
240,25,0,19.97,20.91,21.48,21.55
245,25,0,19.93,20.88,21.44,21.52
250,25,0,19.89,20.83,21.38,21.48
255,25,0,19.89,20.8,21.35,21.45
260,25,0,19.85,20.77,21.31,21.42
265,25,0,19.82,20.75,21.26,21.39
270,25,0,19.81,20.72,21.24,21.36
275,25,0,19.74,20.69,21.23,21.33
280,25,0,19.74,20.66,21.21,21.3
285,25,0,19.71,20.63,21.19,21.28
290,25,0,19.67,20.6,21.16,21.25
295,25,0,19.67,20.6,21.16,21.23
300,25,0,19.64,20.58,21.12,21.2
305,25,0,19.57,20.52,21.06,21.18
310,25,0,19.56,20.47,21.02,21.17
315,25,0,19.56,20.47,21.01,21.15
320,25,0,19.52,20.44,21,21.11
325,25,0,19.49,20.41,20.97,21.07
330,25,0,19.45,20.38,20.95,21.05
335,25,0,19.45,20.36,20.91,21.03
340,25,0,19.42,20.35,20.89,21.01
345,25,0,19.45,20.33,20.86,20.98
350,25,0,19.48,20.33,20.86,20.96
355,25,0,19.41,20.3,20.84,20.95
360,25,0,19.41,20.28,20.8,20.93
365,25,0,19.37,20.27,20.78,20.92
370,25,0,19.41,20.25,20.76,20.91
375,25,0,19.4,20.22,20.76,20.89
380,25,0,19.37,20.22,20.73,20.87
385,25,0,19.37,20.25,20.76,20.86
390,25,0,19.47,20.25,20.76,20.84
395,25,0,19.44,20.25,20.78,20.83
400,25,0,19.4,20.25,20.8,20.84
405,25,0,19.41,20.25,20.82,20.84
410,25,0,19.44,20.23,20.78,20.84
415,25,0,19.44,20.23,20.78,20.84
420,25,0,19.4,20.22,20.76,20.84
425,25,0,19.37,20.22,20.74,20.83
430,25,0,19.37,20.22,20.73,20.83
435,25,0,19.33,20.19,20.72,20.83
440,25,0,19.33,20.19,20.71,20.82
445,25,0,19.33,20.19,20.69,20.82
450,25,0,19.33,20.19,20.67,20.81
455,25,0,19.36,20.19,20.69,20.8
460,25,0,19.36,20.19,20.69,20.8
465,25,0,19.33,20.17,20.7,20.8
470,25,0,19.33,20.17,20.69,20.8
475,25,0,19.33,20.17,20.67,20.8
480,25,0,19.33,20.17,20.69,20.78
485,25,0,19.3,20.14,20.67,20.78
490,25,0,19.3,20.14,20.65,20.77
495,25,0,19.26,20.13,20.63,20.77
500,25,0,19.26,20.11,20.63,20.76
505,25,0,19.26,20.11,20.61,20.75
510,25,0,19.26,20.11,20.61,20.75
515,25,0,19.26,20.08,20.63,20.73
520,25,0,19.29,20.09,20.63,20.73
525,25,0,19.29,20.11,20.61,20.72
530,25,0,19.29,20.09,20.61,20.71
535,25,0,19.29,20.11,20.63,20.71
540,25,0,19.26,20.11,20.61,20.72
545,25,0,19.22,20.08,20.61,20.71
550,25,0,19.22,20.08,20.59,20.72
555,25,0,19.19,20.08,20.59,20.72
560,25,0,19.22,20.08,20.58,20.71
565,25,0,19.25,20.08,20.58,20.7
570,25,0,19.25,20.06,20.56,20.7
575,25,0,19.22,20.08,20.58,20.7
580,25,0,19.22,20.05,20.57,20.7
585,25,0,19.19,20.05,20.57,20.69
590,25,0,19.22,20.05,20.57,20.69
595,25,0,19.22,20.05,20.57,20.68
600,25,0,19.22,20.08,20.58,20.68
605,25,0,19.22,20.08,20.61,20.68
610,25,0,19.26,20.08,20.59,20.67
615,25,0,19.29,20.09,20.63,20.69
620,25,0,19.26,20.08,20.65,20.69
625,25,0,19.26,20.11,20.65,20.7
630,25,0,19.26,20.08,20.65,20.7
635,25,0,19.26,20.08,20.63,20.7
640,25,0,19.26,20.08,20.61,20.71
645,25,0,19.26,20.08,20.61,20.7
650,25,0,19.22,20.08,20.61,20.7
655,25,0,19.26,20.11,20.63,20.7
660,25,0,19.26,20.11,20.63,20.7
665,25,0,19.26,20.08,20.61,20.7
670,25,0,19.29,20.11,20.61,20.71
675,25,0,19.29,20.11,20.63,20.72
680,25,0,19.29,20.11,20.63,20.71
685,25,0,19.33,20.09,20.61,20.72
690,25,0,19.29,20.11,20.61,20.72
695,25,0,19.29,20.11,20.61,20.72
700,25,0,19.26,20.11,20.61,20.71
705,25,0,19.26,20.11,20.6,20.72
710,25,0,19.29,20.11,20.61,20.72
715,25,0,19.29,20.09,20.63,20.72
720,25,0,19.26,20.11,20.63,20.72
725,25,0,19.23,20.08,20.63,20.72
730,25,0,19.29,20.09,20.61,20.71
735,25,0,19.32,20.11,20.6,20.72
740,25,0,19.29,20.11,20.6,20.71
745,25,0,19.29,20.11,20.6,20.7
750,25,0,19.29,20.11,20.6,20.72
755,25,0,19.29,20.09,20.63,20.72
760,25,0,19.26,20.11,20.66,20.72
765,25,0,19.3,20.11,20.66,20.72
770,25,0,19.33,20.11,20.67,20.71
775,25,0,19.33,20.11,20.67,20.72
780,25,0,19.33,20.11,20.65,20.72
785,25,0,19.33,20.14,20.7,20.72
790,25,0,19.3,20.16,20.7,20.73
795,25,0,19.26,20.13,20.68,20.73
