Temps,Consigne,Commande,T1,T2,T3,T3 estimé
0,25,0,23.9,23.97,24.03,24.13
5,25,0,24,24.06,24.13,24.13
10,25,0,24.45,24.09,24.11,24.11
15,25,0,24.75,24.17,24.1,24.1
20,25,0,24.99,24.27,24.13,24.14
25,25,0,25.2,24.39,24.16,24.18
30,25,0,25.34,24.48,24.18,24.23
35,25,0,25.47,24.59,24.22,24.3
40,25,0,25.61,24.71,24.3,24.38
45,25,0,25.72,24.8,24.36,24.47
50,25,0,25.83,24.88,24.42,24.56
55,25,0,25.94,24.97,24.5,24.66
60,25,0,26.05,25.06,24.58,24.74
65,25,0,26.12,25.14,24.66,24.82
70,25,0,26.2,25.23,24.73,24.9
75,25,0,26.31,25.31,24.81,24.98
80,25,0,26.35,25.37,24.89,25.06
85,25,0,26.42,25.48,24.98,25.13
90,25,0,26.5,25.56,25.06,25.21
95,25,0,26.61,25.62,25.12,25.27
100,25,0,26.65,25.68,25.19,25.35
105,25,0,26.72,25.74,25.25,25.42
110,25,0,26.76,25.82,25.31,25.49
115,25,0,26.8,25.88,25.37,25.54
120,25,0,26.87,25.93,25.43,25.6
125,25,0,26.91,25.99,25.48,25.66
130,25,0,26.95,26.05,25.54,25.72
135,25,0,26.99,26.1,25.58,25.77
140,25,0,27.06,26.16,25.64,25.82
145,25,0,27.1,26.22,25.7,25.87
150,25,0,27.18,26.25,25.74,25.92
155,25,0,27.18,26.3,25.81,25.97
160,25,0,27.26,26.36,25.85,26.02
165,25,0,27.26,26.36,25.87,26.06
170,25,0,27.3,26.42,25.91,26.1
175,25,0,27.33,26.47,25.97,26.15
180,25,0,27.37,26.5,26.02,26.17
185,25,0,27.41,26.5,26.04,26.21
190,25,0,27.41,26.56,26.08,26.25
195,25,0,27.49,26.59,26.12,26.28
200,25,0,27.49,26.62,26.14,26.3
205,25,0,27.49,26.64,26.14,26.33
210,25,0,27.49,26.67,26.14,26.36
215,25,0,27.56,26.67,26.2,26.39
220,25,0,27.56,26.7,26.2,26.41
225,25,0,27.6,26.73,26.22,26.44
230,25,0,27.64,26.76,26.26,26.45
235,25,0,27.67,26.76,26.26,26.47
240,25,0,27.67,26.79,26.29,26.49
245,25,0,27.68,26.82,26.3,26.52
250,25,0,27.71,26.82,26.33,26.53
255,25,0,27.75,26.85,26.37,26.55
260,25,0,27.75,26.88,26.37,26.57
265,25,0,27.79,26.9,26.41,26.58
270,25,0,27.79,26.93,26.45,26.6
275,25,0,27.83,26.93,26.47,26.62
280,25,0,27.79,26.96,26.49,26.64
285,25,0,27.83,26.99,26.51,26.67
290,25,0,27.83,26.99,26.49,26.68
295,25,0,27.83,27.01,26.53,26.7
300,25,0,27.87,27.04,26.53,26.72
305,25,0,27.87,27.04,26.53,26.73
310,25,0,27.87,27.07,26.51,26.75
315,25,0,27.94,27.08,26.53,26.77
320,25,0,27.9,27.05,26.55,26.78
325,25,0,27.91,27.07,26.57,26.8
330,25,0,27.91,27.07,26.57,26.81
335,25,0,27.94,27.08,26.58,26.8
340,25,0,27.94,27.08,26.6,26.81
345,25,0,27.94,27.13,26.62,26.81
350,25,0,27.95,27.13,26.61,26.81
355,25,0,27.94,27.13,26.62,26.81
360,25,0,27.95,27.13,26.64,26.84
365,25,0,27.98,27.16,26.64,26.85
370,25,0,27.98,27.16,26.66,26.86
375,25,0,28.05,27.16,26.66,26.86
380,25,0,28.02,27.16,26.64,26.87
385,25,0,27.98,27.18,26.66,26.88
390,25,0,28.02,27.16,26.68,26.89
395,25,0,28.02,27.19,26.68,26.89
400,25,0,28.02,27.19,26.72,26.9
405,25,0,28.02,27.21,26.72,26.9
410,25,0,28.02,27.24,26.76,26.91
415,25,0,28.06,27.27,26.8,26.91
420,25,0,28.06,27.24,26.78,26.92
425,25,0,28.1,27.25,26.81,26.94
430,25,0,28.1,27.25,26.79,26.97
435,25,0,28.13,27.25,26.78,26.96
440,25,0,28.1,27.25,26.76,26.97
445,25,0,28.13,27.28,26.74,26.97
450,25,0,28.13,27.3,26.8,26.97
455,25,0,28.13,27.28,26.8,26.97
460,25,0,28.13,27.3,26.8,26.98
465,25,0,28.17,27.28,26.78,27
470,25,0,28.13,27.3,26.82,26.99
475,25,0,28.17,27.33,26.84,27.01
480,25,0,28.1,27.35,26.82,27
485,25,0,28.14,27.36,26.84,27.01
490,25,0,28.14,27.36,26.86,27.02
495,25,0,28.17,27.36,26.86,27.04
500,25,0,28.17,27.36,26.88,27.05
505,25,0,28.11,27.35,26.89,27.06
510,25,0,28.14,27.36,26.87,27.06
515,25,0,28.18,27.36,26.91,27.06
520,25,0,28.18,27.39,26.91,27.06
525,25,0,28.18,27.39,26.93,27.06
530,25,0,28.11,27.38,26.93,27.06
535,25,0,28.15,27.38,26.95,27.08
540,25,0,28.18,27.41,26.95,27.08
545,25,0,28.22,27.42,26.95,27.08
550,25,0,28.22,27.42,26.95,27.08
555,25,0,28.25,27.39,26.93,27.1
560,25,0,28.25,27.42,26.93,27.11
565,25,0,28.25,27.42,26.93,27.11
570,25,0,28.25,27.42,26.95,27.1
575,25,0,28.22,27.39,26.93,27.11
580,25,0,28.22,27.39,26.9,27.11
585,25,0,28.21,27.36,26.88,27.11
590,25,0,28.21,27.36,26.86,27.1
595,25,0,28.17,27.39,26.88,27.1
600,25,0,28.21,27.39,26.9,27.08
605,25,0,28.21,27.39,26.88,27.07
610,25,0,28.18,27.36,26.86,27.08
615,25,0,28.17,27.36,26.86,27.09
620,25,0,28.17,27.39,26.88,27.09
625,25,0,28.18,27.39,26.9,27.08
630,25,0,28.18,27.39,26.9,27.07
635,25,0,28.21,27.42,26.9,27.08
640,25,0,28.18,27.39,26.93,27.08
645,25,0,28.15,27.38,26.93,27.09
650,25,0,28.15,27.41,26.93,27.1
655,25,0,28.18,27.39,26.91,27.09
