Temps;Consigne;Commande;T1;T2;T3;T3 estimé
0;25;0;25.26;25.51;25.64;25.32
5;25;0;25.22;25.48;25.6;25.46
10;25;0;24.88;25.56;25.71;25.48
15;25;0;24.24;25.43;25.67;25.46
20;25;0;23.7;25.2;25.6;25.44
25;25;0;23.32;24.94;25.5;25.47
30;25;0;22.94;24.72;25.38;25.42
35;25;0;22.63;24.46;25.22;25.29
40;25;0;22.35;24.23;25.08;25.11
45;25;0;22.13;24.01;24.9;24.92
50;25;0;21.88;23.78;24.72;24.72
55;25;0;21.67;23.58;24.53;24.51
60;25;0;21.49;23.38;24.35;24.31
65;25;0;21.3;23.19;24.18;24.11
70;25;0;21.16;23.02;24.03;23.93
75;25;0;20.94;22.85;23.85;23.75
80;25;0;20.83;22.68;23.7;23.57
85;25;0;20.68;22.52;23.55;23.41
90;25;0;20.53;22.37;23.41;23.26
95;25;0;20.42;22.24;23.26;23.11
100;25;0;20.31;22.1;23.09;22.96
105;25;0;20.16;21.93;22.94;22.82
110;25;0;20.05;21.82;22.81;22.7
115;25;0;19.91;21.68;22.69;22.57
120;25;0;19.8;21.57;22.56;22.44
125;25;0;19.68;21.45;22.45;22.32
130;25;0;19.54;21.31;22.31;22.2
135;25;0;19.5;21.21;22.22;22.09
140;25;0;19.39;21.15;22.16;21.99
145;25;0;19.35;21.04;22.08;21.88
150;25;0;19.34;20.99;21.99;21.77
155;25;0;19.24;20.9;21.95;21.7
160;25;0;19.17;20.85;21.87;21.61
165;25;0;19.06;20.79;21.8;21.55
170;25;0;19.02;20.68;21.67;21.48
175;25;0;18.91;20.62;21.59;21.42
180;25;0;18.84;20.51;21.51;21.36
185;25;0;18.8;20.46;21.46;21.29
190;25;0;18.72;20.42;21.44;21.23
195;25;0;18.66;20.37;21.38;21.15
200;25;0;18.58;20.28;21.3;21.08
205;25;0;18.51;20.2;21.23;21.04
210;25;0;18.51;20.12;21.15;20.99
215;25;0;18.5;20.1;21.12;20.93
220;25;0;18.43;20.02;21.04;20.86
225;25;0;18.36;19.96;20.96;20.8
230;25;0;18.38;19.91;20.93;20.75
235;25;0;18.38;19.86;20.89;20.69
240;25;0;18.28;19.8;20.78;20.64
245;25;0;18.2;19.74;20.7;20.59
250;25;0;18.19;19.69;20.61;20.54
255;25;0;18.15;19.63;20.57;20.49
260;25;0;18.12;19.58;20.53;20.44
265;25;0;18.05;19.52;20.51;20.4
270;25;0;17.94;19.49;20.44;20.35
275;25;0;17.84;19.43;20.33;20.3
280;25;0;17.86;19.4;20.28;20.25
285;25;0;17.82;19.35;20.29;20.21
290;25;0;17.76;19.29;20.22;20.17
295;25;0;17.79;19.24;20.16;20.13
300;25;0;17.75;19.19;20.09;20.09
305;25;0;17.71;19.16;20.03;20.05
310;25;0;17.64;19.13;20.03;20
315;25;0;17.57;19.07;20.04;19.96
320;25;0;17.54;19.07;19.99;19.92
325;25;0;17.5;19.02;19.97;19.89
330;25;0;17.46;18.96;19.89;19.85
335;25;0;17.46;18.96;19.88;19.83
340;25;0;17.49;18.91;19.85;19.8
345;25;0;17.49;18.89;19.84;19.75
350;25;0;17.49;18.89;19.8;19.73
355;25;0;17.42;18.85;19.75;19.7
360;25;0;17.31;18.82;19.69;19.68
365;25;0;17.27;18.77;19.65;19.66
370;25;0;17.24;18.74;19.61;19.64
375;25;0;17.2;18.71;19.58;19.62
380;25;0;17.16;18.68;19.54;19.58
385;25;0;17.13;18.63;19.52;19.55
390;25;0;17.16;18.6;19.5;19.52
395;25;0;17.19;18.58;19.46;19.5
400;25;0;17.19;18.58;19.45;19.46
405;25;0;17.22;18.58;19.48;19.43
410;25;0;17.19;18.55;19.48;19.41
415;25;0;17.12;18.55;19.44;19.39
420;25;0;17.02;18.51;19.39;19.39
425;25;0;17.05;18.49;19.4;19.37
430;25;0;17.05;18.49;19.44;19.36
435;25;0;17.12;18.47;19.4;19.34
440;25;0;17.15;18.47;19.44;19.32
445;25;0;17.12;18.5;19.4;19.31
450;25;0;17.12;18.52;19.42;19.3
455;25;0;17.05;18.54;19.49;19.3
460;25;0;17.06;18.54;19.51;19.3
465;25;0;17.02;18.51;19.44;19.32
470;25;0;16.95;18.48;19.39;19.34
475;25;0;16.91;18.43;19.33;19.34
480;25;0;16.94;18.4;19.38;19.33
485;25;0;16.95;18.41;19.38;19.32
490;25;0;17.05;18.39;19.38;19.28
495;25;0;17.08;18.42;19.4;19.26
500;25;0;17.12;18.42;19.4;19.24
505;25;0;17.12;18.44;19.42;19.23
510;25;0;17.12;18.44;19.4;19.23
515;25;0;17.15;18.47;19.37;19.24
520;25;0;17.08;18.52;19.42;19.25
525;25;0;17.08;18.47;19.4;19.26
530;25;0;17.08;18.44;19.4;19.28
535;25;0;17.08;18.47;19.4;19.3
540;25;0;17.12;18.5;19.37;19.29
545;25;0;17.05;18.46;19.31;19.28
550;25;0;17.14;18.55;19.39;19.28
555;25;0;17.12;18.55;19.46;19.3
560;25;0;17.09;18.57;19.53;19.29
565;25;0;17.06;18.57;19.51;19.33
570;25;0;17.02;18.59;19.53;19.34
575;25;0;16.96;18.51;19.47;19.36
580;25;0;16.99;18.49;19.46;19.37
585;25;0;17.05;18.49;19.42;19.38
590;25;0;17.02;18.46;19.37;19.35
595;25;0;16.95;18.43;19.35;19.32
600;25;0;16.94;18.51;19.44;19.31
605;25;0;16.92;18.51;19.44;19.3
610;25;0;16.99;18.46;19.35;19.27
615;25;0;16.94;18.43;19.31;19.3
620;25;0;17.01;18.41;19.36;19.31
625;25;0;16.98;18.41;19.33;19.29
630;25;0;17.01;18.38;19.33;19.27
635;25;0;17.01;18.36;19.32;19.25
640;25;0;17.01;18.38;19.27;19.24
645;25;0;16.94;18.35;19.27;19.23
650;25;0;16.94;18.33;19.27;19.21
655;25;0;17;18.33;19.29;19.21
660;25;0;17.04;18.34;19.25;19.2
665;25;0;17.1;18.37;19.24;19.18
670;25;0;17.07;18.34;19.23;19.17
675;25;0;17.04;18.36;19.25;19.17
