Temps;Consigne;Commande;T1;T2;T3;T3 estimé
720;25;0;34.42;32.59;31.45;31.62
725;25;0;34.46;32.57;31.43;31.63
730;25;0;34.46;32.57;31.43;31.64
735;25;0;34.46;32.54;31.43;31.64
740;25;0;34.53;32.57;31.43;31.63
745;25;0;34.49;32.57;31.43;31.62
750;25;0;34.46;32.57;31.39;31.61
755;25;0;34.45;32.6;31.43;31.62
760;25;0;34.49;32.6;31.45;31.62
765;25;0;34.49;32.6;31.43;31.62
770;25;0;34.46;32.57;31.43;31.63
775;25;0;34.42;32.57;31.38;31.64
780;25;0;34.41;32.57;31.39;31.64
785;25;0;34.45;32.57;31.41;31.63
790;25;0;34.45;32.6;31.43;31.62
795;25;0;34.49;32.6;31.42;31.62
800;25;0;34.49;32.63;31.46;31.62
805;25;0;34.46;32.62;31.45;31.63
810;25;0;34.46;32.57;31.41;31.64
815;25;0;34.53;32.63;31.46;31.66
820;25;0;34.53;32.6;31.43;31.66
825;25;0;34.53;32.6;31.45;31.64
830;25;0;34.49;32.6;31.45;31.66
835;25;0;34.53;32.63;31.46;31.65
840;25;0;34.5;32.63;31.46;31.65
845;25;0;34.53;32.63;31.44;31.65
850;25;0;34.53;32.63;31.47;31.66
855;25;0;34.57;32.66;31.48;31.67
860;25;0;34.57;32.69;31.5;31.67
865;25;0;34.57;32.69;31.48;31.67
870;25;0;34.61;32.69;31.5;31.69
875;25;0;34.57;32.66;31.48;31.71
880;25;0;34.57;32.66;31.48;31.72
885;25;0;34.65;32.7;31.5;31.72
890;25;0;34.61;32.72;31.54;31.71
895;25;0;34.65;32.75;31.56;31.71
900;25;0;34.58;32.75;31.61;31.72
905;25;0;34.51;32.71;31.63;31.74
910;25;0;34.43;32.71;31.67;31.76
915;25;0;34.36;32.76;31.67;31.77
920;25;0;34.44;32.76;31.62;31.76
