Temps,Consigne,Commande,T1,T2,T3,T3 estimé
720,25,0,11.67,14.05,15.53,15.43
725,25,0,11.64,14.02,15.52,15.43
730,25,0,11.6,14,15.52,15.43
735,25,0,11.6,14,15.52,15.43
740,25,0,11.64,14,15.52,15.41
745,25,0,11.57,13.99,15.52,15.39
750,25,0,11.57,13.99,15.52,15.38
755,25,0,11.57,13.99,15.52,15.38
760,25,0,11.57,13.99,15.52,15.37
765,25,0,11.57,14.02,15.52,15.37
770,25,0,11.57,13.99,15.52,15.37
775,25,0,11.64,13.97,15.52,15.37
780,25,0,11.71,13.98,15.52,15.38
785,25,0,11.6,14.02,15.56,15.38
790,25,0,11.64,14.1,15.71,15.36
795,25,0,11.65,14.13,15.74,15.36
800,25,0,11.69,14.21,15.84,15.38
805,25,0,11.66,14.23,15.87,15.43
810,25,0,11.7,14.26,15.91,15.46
815,25,0,11.7,14.24,15.84,15.51
820,25,0,11.66,14.21,15.78,15.55
825,25,0,11.69,14.18,15.66,15.58
830,25,0,11.72,14.21,15.71,15.58
835,25,0,11.72,14.21,15.71,15.57
840,25,0,11.72,14.21,15.7,15.55
845,25,0,11.76,14.22,15.7,15.56
850,25,0,11.82,14.22,15.73,15.56
855,25,0,11.83,14.22,15.72,15.56
860,25,0,11.9,14.3,15.83,15.56
865,25,0,11.9,14.31,15.86,15.57
870,25,0,11.94,14.26,15.79,15.57
875,25,0,11.9,14.25,15.81,15.61
880,25,0,11.97,14.31,15.83,15.63
885,25,0,11.94,14.31,15.81,15.61
890,25,0,11.8,14.3,15.79,15.61
895,25,0,11.9,14.28,15.75,15.63
900,25,0,11.93,14.33,15.79,15.64
905,25,0,11.87,14.35,15.87,15.64
910,25,0,11.84,14.35,15.85,15.63
915,25,0,11.84,14.33,15.81,15.65
920,25,0,11.83,14.38,15.92,15.67
925,25,0,11.91,14.38,15.92,15.68
930,25,0,11.95,14.39,15.9,15.67
