Temps,T1,T2,T3,Consigne,Commande
0,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
3.15544362088405e-30,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
0.000141342007367768,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
0.000848052044206607,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
0.00438160222840081,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
0.0220493531493718,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
0.110388107754227,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
0.254761419162405,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
0.400090544380466,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
0.547527905680008,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
0.698856775481816,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
0.854529778489081,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
1.01254981584984,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
1.17303479305364,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
1.33606068201659,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
1.50170804602982,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
1.67006143162201,-0.0113725970022074,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
1.84120939120481,0.025666473571107,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
2.01524491128048,0.025666473571107,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
2.19226578171099,0.025666473571107,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
2.38651306955798,0.025666473571107,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
2.59867143399581,0.025666473571107,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
2.82835368854788,0.025666473571107,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
3.07559334685719,0.025666473571107,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
3.34069159176719,0.025666473571107,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
3.62416589398122,0.025666473571107,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
3.92672641676929,0.025666473571107,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
4.24926933821279,0.0627135595436243,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
4.59288216699578,0.0627135595436243,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
4.95885791196482,0.0627135595436243,-0.00448271948039292,-0.00181097344506043,2,0.141909090909091
5,0.0627135595436243,-0.00448271948039292,-0.00181097344506043,2,0.14668520503503
5.06408638345959,0.0627135595436243,-0.00448271948039292,-0.00181097344506043,2,0.14668520503503
