Temps (s),Echelon (V),DeltaV (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C),Courant (V)
45.415371894836426,0.694,0.948,2.375,27.621,2.214,30.64,1.843,38.252,3.456
46.02191185951233,0.694,0.953,2.375,27.621,2.209,30.734,1.833,38.459,3.451
46.628811836242676,0.689,0.958,2.37,27.712,2.204,30.827,1.833,38.459,3.451
47.23556685447693,0.684,0.958,2.366,27.803,2.199,30.921,1.828,38.563,3.451
47.84205198287964,0.694,0.948,2.366,27.803,2.199,30.921,1.818,38.771,3.446
48.448894023895264,0.689,0.953,2.361,27.894,2.195,31.014,1.818,38.771,3.446
49.05548405647278,0.689,0.953,2.356,27.985,2.19,31.108,1.813,38.875,3.441
49.6622359752655,0.689,0.943,2.356,27.985,2.185,31.202,1.808,38.979,3.451
50.268768072128296,0.689,0.953,2.351,28.076,2.18,31.296,1.804,39.084,3.441
50.87558197975159,0.684,0.958,2.346,28.167,2.175,31.39,1.799,39.189,3.446
51.48228693008423,0.689,0.938,2.346,28.167,2.17,31.484,1.794,39.294,3.441
52.08896279335022,0.689,0.953,2.341,28.258,2.165,31.578,1.789,39.399,3.441
52.695605754852295,0.684,0.958,2.336,28.349,2.165,31.578,1.784,39.505,3.436
53.30230212211609,0.684,0.963,2.336,28.349,2.16,31.673,1.779,39.61,3.436
53.90906596183777,0.679,0.963,2.331,28.441,2.155,31.767,1.774,39.716,3.441
54.5155291557312,0.684,0.953,2.322,28.624,2.151,31.862,1.769,39.822,3.436
55.12226605415344,0.674,0.968,2.322,28.624,2.146,31.957,1.769,39.822,3.436
55.729048013687134,0.684,0.953,2.322,28.624,2.146,31.957,1.764,39.928,3.436
56.335608959198,0.674,0.968,2.317,28.715,2.136,32.146,1.76,40.035,3.441
56.942394971847534,0.684,0.948,2.317,28.715,2.136,32.146,1.76,40.035,3.436
57.54907989501953,0.679,0.963,2.312,28.807,2.131,32.241,1.755,40.141,3.431
58.15575313568115,0.674,0.968,2.307,28.899,2.126,32.336,1.75,40.248,3.436
58.76231002807617,0.679,0.963,2.302,28.99,2.121,32.431,1.75,40.248,3.436
59.369144916534424,0.679,0.963,2.302,28.99,2.121,32.431,1.745,40.355,3.436
59.975799798965454,0.679,0.963,2.297,29.082,2.116,32.527,1.74,40.462,3.431
60.58233690261841,0.679,0.963,2.292,29.174,2.111,32.622,1.74,40.462,3.436
61.18896698951721,0.674,0.968,2.292,29.174,2.111,32.622,1.735,40.57,3.431
61.79569697380066,0.674,0.958,2.287,29.266,2.107,32.718,1.73,40.677,3.431
62.40262198448181,0.679,0.963,2.283,29.358,2.102,32.813,1.725,40.785,3.436
63.00910305976868,0.674,0.973,2.283,29.358,2.097,32.909,1.72,40.893,3.436
63.61591410636902,0.679,0.963,2.278,29.45,2.092,33.005,1.72,40.893,3.431
64.22265291213989,0.674,0.958,2.273,29.543,2.092,33.005,1.72,40.893,3.431
64.82929396629333,0.674,0.973,2.273,29.543,2.087,33.101,1.716,41.001,3.431
65.43598508834839,0.679,0.968,2.268,29.635,2.082,33.197,1.711,41.11,3.426
66.04251885414124,0.674,0.968,2.263,29.727,2.082,33.197,1.706,41.218,3.431
66.6493239402771,0.679,0.968,2.263,29.727,2.077,33.293,1.706,41.218,3.426
67.2560510635376,0.674,0.973,2.258,29.82,2.077,33.293,1.701,41.327,3.436
67.86253094673157,0.674,0.973,2.258,29.82,2.072,33.39,1.701,41.327,3.431
68.46927905082703,0.674,0.973,2.253,29.913,2.067,33.486,1.696,41.436,3.431
69.07610988616943,0.679,0.968,2.248,30.005,2.063,33.583,1.691,41.546,3.426
69.68276309967041,0.674,0.973,2.248,30.005,2.058,33.679,1.691,41.546,3.426
70.28943395614624,0.674,0.973,2.243,30.098,2.058,33.679,1.686,41.655,3.426
70.89610505104065,0.674,0.973,2.239,30.191,2.053,33.776,1.686,41.655,3.431
71.5028030872345,0.674,0.963,2.239,30.191,2.053,33.776,1.686,41.655,3.426
72.10959815979004,0.674,0.978,2.234,30.284,2.048,33.873,1.681,41.765,3.426
72.71612501144409,0.674,0.978,2.234,30.284,2.043,33.97,1.676,41.875,3.431
73.32288193702698,0.674,0.987,2.229,30.377,2.043,33.97,1.676,41.875,3.421
73.92959594726562,0.679,0.973,2.229,30.377,2.038,34.067,1.672,41.985,3.426
74.53622579574585,0.679,0.973,2.224,30.47,2.038,34.067,1.672,41.985,3.426
75.14269399642944,0.679,0.973,2.219,30.563,2.033,34.165,1.667,42.096,3.431
75.7496018409729,0.679,0.978,2.219,30.563,2.028,34.262,1.662,42.206,3.426
76.35626792907715,0.679,0.973,2.214,30.656,2.028,34.262,1.662,42.206,3.426
76.96290111541748,0.674,0.982,2.209,30.75,2.023,34.36,1.657,42.317,3.426
77.5696530342102,0.679,0.978,2.209,30.75,2.019,34.457,1.657,42.317,3.426
78.17636108398438,0.679,0.978,2.204,30.843,2.014,34.555,1.652,42.428,3.426
78.78297090530396,0.679,0.982,2.204,30.843,2.014,34.555,1.652,42.428,3.431
79.38968396186829,0.679,0.987,2.199,30.937,2.014,34.555,1.652,42.428,3.426
79.9963788986206,0.674,0.987,2.195,31.031,2.009,34.653,1.647,42.54,3.431
80.60283493995667,0.679,0.987,2.195,31.031,2.004,34.751,1.647,42.54,3.426
81.20982193946838,0.684,0.982,2.19,31.124,2.004,34.751,1.642,42.651,3.426
81.81641292572021,0.684,0.982,2.19,31.124,1.999,34.849,1.642,42.651,3.426
82.42313194274902,0.679,0.978,2.185,31.218,1.999,34.849,1.637,42.763,3.431
83.02979803085327,0.684,0.982,2.185,31.218,1.994,34.948,1.637,42.763,3.431
83.63649106025696,0.679,0.978,2.18,31.312,1.989,35.046,1.632,42.875,3.426
84.24316811561584,0.684,0.987,2.175,31.406,1.989,35.046,1.632,42.875,3.431
84.84980797767639,0.684,0.987,2.175,31.406,1.989,35.046,1.628,42.988,3.426
85.45654201507568,0.674,0.997,2.17,31.5,1.984,35.145,1.628,42.988,3.436
86.06302499771118,0.684,0.982,2.17,31.5,1.979,35.244,1.623,43.1,3.426
86.66986608505249,0.684,0.992,2.165,31.595,1.975,35.343,1.623,43.1,3.421
87.27658295631409,0.684,0.987,2.16,31.689,1.975,35.343,1.618,43.213,3.426
87.88320899009705,0.679,0.997,2.16,31.689,1.97,35.442,1.618,43.213,3.431
88.48994398117065,0.684,0.982,2.155,31.783,1.97,35.442,1.613,43.326,3.431
89.09662508964539,0.684,0.982,2.151,31.878,1.965,35.541,1.613,43.326,3.431
89.7032961845398,0.679,0.997,2.151,31.878,1.965,35.541,1.608,43.439,3.431
90.31003189086914,0.684,0.992,2.146,31.973,1.96,35.64,1.608,43.439,3.426
90.91666173934937,0.684,0.992,2.146,31.973,1.955,35.74,1.608,43.439,3.426
91.52333188056946,0.689,0.987,2.141,32.067,1.955,35.74,1.603,43.553,3.421
92.13001608848572,0.679,0.997,2.136,32.162,1.95,35.839,1.603,43.553,3.426
92.73650598526001,0.689,0.987,2.136,32.162,1.95,35.839,1.598,43.667,3.426
93.34335398674011,0.684,0.992,2.131,32.257,1.945,35.939,1.598,43.667,3.426
93.94986987113953,0.689,0.987,2.131,32.257,1.945,35.939,1.593,43.781,3.416
94.55676293373108,0.684,0.992,2.126,32.352,1.94,36.039,1.593,43.781,3.416
95.16340494155884,0.684,0.992,2.121,32.448,1.935,36.139,1.588,43.895,3.426
95.770094871521,0.689,0.992,2.121,32.448,1.931,36.239,1.588,43.895,3.426
96.37668204307556,0.689,0.992,2.116,32.543,1.931,36.239,1.584,44.01,3.421
96.98326683044434,0.684,0.997,2.111,32.638,1.926,36.34,1.584,44.01,3.421
97.58997011184692,0.684,0.997,2.111,32.638,1.926,36.34,1.584,44.01,3.416
