Temps (s),Echelon (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C)
21.77718186378479,0.494,2.209,30.75,2.483,25.624,2.522,25.077
22.042389631271362,0.494,2.209,30.75,2.478,25.713,2.522,25.077
22.30731987953186,0.494,2.199,30.937,2.478,25.713,2.522,25.077
22.572415590286255,0.494,2.199,30.937,2.478,25.713,2.522,25.077
22.83704662322998,0.494,2.19,31.124,2.478,25.713,2.522,25.077
23.101765155792236,0.494,2.19,31.124,2.478,25.713,2.522,25.077
23.367475271224976,0.494,2.185,31.218,2.473,25.803,2.522,25.077
23.633323192596436,0.494,2.18,31.312,2.468,25.892,2.522,25.077
23.898496627807617,0.494,2.175,31.406,2.473,25.803,2.522,25.077
24.16351294517517,0.499,2.17,31.5,2.468,25.892,2.522,25.077
24.42816472053528,0.494,2.165,31.595,2.468,25.892,2.522,25.077
24.693618059158325,0.494,2.16,31.689,2.468,25.892,2.522,25.077
24.958937644958496,0.494,2.155,31.783,2.463,25.982,2.522,25.077
25.224209547042847,0.494,2.155,31.783,2.458,26.072,2.522,25.077
25.489259958267212,0.494,2.146,31.973,2.458,26.072,2.522,25.077
25.753954887390137,0.494,2.146,31.973,2.458,26.072,2.522,25.077
26.019657373428345,0.494,2.141,32.067,2.458,26.072,2.522,25.077
26.284873723983765,0.494,2.136,32.162,2.454,26.161,2.522,25.077
26.549386739730835,0.494,2.136,32.162,2.449,26.251,2.517,25.167
26.814999103546143,0.494,2.131,32.257,2.449,26.251,2.522,25.077
27.080455780029297,0.499,2.126,32.352,2.449,26.251,2.517,25.167
27.345574140548706,0.499,2.121,32.448,2.449,26.251,2.522,25.077
27.609562635421753,0.499,2.116,32.543,2.449,26.251,2.517,25.167
27.87544822692871,0.499,2.111,32.638,2.444,26.341,2.522,25.077
28.14082360267639,0.494,2.111,32.638,2.439,26.431,2.517,25.167
28.40630269050598,0.494,2.107,32.734,2.444,26.341,2.517,25.167
28.6713125705719,0.494,2.102,32.83,2.439,26.431,2.517,25.167
28.93628692626953,0.494,2.102,32.83,2.439,26.431,2.517,25.167
29.2014057636261,0.499,2.097,32.925,2.434,26.521,2.517,25.167
29.466208696365356,0.499,2.092,33.021,2.434,26.521,2.517,25.167
29.73046612739563,0.499,2.087,33.117,2.429,26.611,2.517,25.167
29.99576711654663,0.494,2.087,33.117,2.429,26.611,2.517,25.167
30.262147426605225,0.494,2.082,33.213,2.429,26.611,2.517,25.167
30.52715492248535,0.499,2.077,33.309,2.429,26.611,2.512,25.256
30.791144847869873,0.494,2.077,33.309,2.424,26.701,2.512,25.256
31.057519912719727,0.494,2.072,33.406,2.419,26.791,2.512,25.256
31.322511672973633,0.494,2.067,33.502,2.419,26.791,2.512,25.256
31.587612628936768,0.499,2.063,33.599,2.419,26.791,2.512,25.256
31.85297417640686,0.494,2.058,33.696,2.414,26.882,2.512,25.256
32.11839270591736,0.494,2.058,33.696,2.414,26.882,2.507,25.345
32.38295102119446,0.494,2.053,33.792,2.41,26.972,2.507,25.345
32.648019313812256,0.494,2.048,33.889,2.41,26.972,2.507,25.345
32.91360592842102,0.494,2.043,33.986,2.405,27.062,2.502,25.435
33.178237199783325,0.494,2.043,33.986,2.405,27.062,2.507,25.345
33.44335389137268,0.494,2.038,34.084,2.405,27.062,2.507,25.345
33.708467960357666,0.494,2.033,34.181,2.4,27.153,2.507,25.345
33.973451375961304,0.494,2.028,34.278,2.395,27.243,2.502,25.435
34.23941922187805,0.494,2.028,34.278,2.395,27.243,2.502,25.435
34.504475355148315,0.494,2.023,34.376,2.395,27.243,2.502,25.435
34.76952242851257,0.494,2.023,34.376,2.39,27.334,2.498,25.524
35.03497910499573,0.494,2.019,34.474,2.39,27.334,2.498,25.524
35.29983305931091,0.494,2.014,34.572,2.385,27.424,2.498,25.524
35.56412887573242,0.494,2.014,34.572,2.385,27.424,2.493,25.613
35.829878091812134,0.494,2.009,34.669,2.38,27.515,2.493,25.613
36.095237493515015,0.494,2.004,34.768,2.38,27.515,2.493,25.613
36.359729051589966,0.489,2.004,34.768,2.375,27.605,2.493,25.613
36.62555766105652,0.489,1.999,34.866,2.375,27.605,2.493,25.613
36.8896381855011,0.489,1.994,34.964,2.37,27.696,2.488,25.703
37.156195878982544,0.489,1.994,34.964,2.37,27.696,2.488,25.703
37.4214882850647,0.489,1.989,35.063,2.37,27.696,2.488,25.703
