Temps,T1,T2,T3
0.0013619346503979,25.0034643856292,24.9999823253909,24.9999823253909
2.04290197559684,26.5161765030331,24.9795353696138,24.9726928407757
4.08580395119369,27.0507946248463,25.0170475506794,24.9460364724318
6.12870592679053,27.4660540002417,25.1028376538926,24.924061986244
8.17160790238738,27.8255601424489,25.2134797969193,24.911890108561
10.2145098779842,28.1465709105193,25.3369888407412,24.9127339897832
12.2574118535811,28.4377038223586,25.4671287686606,24.9276800211105
14.3003138291779,28.7045983050477,25.6004754911466,24.9564199688105
16.3432158047748,28.9513277074428,25.7350923518126,24.997902172168
18.3861177803716,29.1809875934845,25.8698629396924,25.0507518706077
20.4290197559684,29.3960148716101,26.0041326785312,25.1135126757379
22.4719217315653,29.5983794152938,26.137510739796,25.1847746423479
24.5148237071621,29.789705326201,26.2697589919628,25.2632357597826
26.557725682759,29.9713510432215,26.4007291455375,25.3477261041164
28.6006276583558,30.1444645646435,26.5303268690169,25.4372119153705
30.6435296339527,30.3100231589881,26.6584911034206,25.5307894809186
32.6864316095495,30.46886307864,26.7851819900488,25.6276743491752
34.7293335851464,30.6217025810843,26.9103737072935,25.7271888852136
36.7722355607432,30.7691602826341,27.0340501244779,25.8287497529313
38.81513753634,30.9117701197279,27.1562020870263,25.9318561086785
40.8580395119369,31.0499937479057,27.2768256584275,26.0360788501661
42.9009414875337,31.1842309399942,27.3959209334155,26.1410510267675
44.9438434631306,31.3148283793093,27.5134912005055,26.2464593940367
46.9867454387274,31.4420871384679,27.6295423250023,26.3520370356368
49.0296474143243,31.5662690652705,27.7440822765635,26.4575569511469
51.0725493899211,31.6876022498616,27.8571207557297,26.5628265021109
53.115451365518,31.8062857137306,27.9686688913122,26.6676826121314
55.1583533411148,31.9224934361573,28.0787389907225,26.7719876247157
57.2012553167116,32.0363778145341,28.187344331337,26.8756257322301
59.2441572923085,32.148072639799,28.2944989846508,26.9784998992359
61.2870592679053,32.2576956558932,28.4002176672234,27.0805292129388
63.3299612435022,32.3653507619737,28.5045156138848,27.1816466021559
65.372863219099,32.4711299076059,28.607408469653,27.2817968739703
67.4157651946959,32.5751147239657,28.7089121975009,27.3809350240953
69.4586671702927,32.6773779279821,28.8090429996221,27.4790247829667
71.5015691458896,32.7779845311414,28.907817250231,27.5760373648082
73.5444711214864,32.8769928802167,29.0052514382422,27.6719503914262
75.5873730970832,32.9744555533701,29.1013621184208,27.7667469664107
77.6302750726801,33.0704201317913,29.1961658698089,27.8604148787928
79.6731770482769,33.1649298642232,29.2896792603939,27.9529459181177
81.7160790238738,33.2580242393015,29.3819188171479,28.0443352854091
83.7589809994706,33.3497394785548,29.4729010006705,28.1345810866528
85.8018829750675,33.4401089611166,29.5626421837985,28.2236838972992
87.8447849506643,33.5291635896612,29.6511586336129,28.3116463878803
89.8876869262612,33.6169321057541,29.7384664963697,28.3984730022179
91.930588901858,33.7034413616574,29.8245817849394,28.4841696808875
93.9734908774549,33.788716554656,29.9095203684002,28.5687436236277
96.0163928530517,33.8727814291209,29.9932979634769,28.6522030852583
98.0592948286485,33.9556584508047,30.0759301275673,28.7345572004347
100.102196804245,34.0373689572289,30.1574322531255,28.8158158332117
102.145098779842,34.1179332874941,30.2378195632093,28.8959894479554
104.188000755439,34.1973708943717,30.3171071080246,28.9750889986232
106.230902731036,34.2757004411467,30.3953097623203,29.0531258338433
108.273804706633,34.3529398853269,30.4724422235161,29.1301116155908
110.31670668223,34.4291065510467,30.5485190104454,29.2060582495585
112.359608657826,34.5042171917352,30.6235544626368,29.2809778255867
114.402510633423,34.5782880443998,30.6975627400396,29.3548825667472
116.44541260902,34.6513348766927,30.7705578231377,29.4277847858691
118.488314584617,34.7233730277559,30.842553513388,29.4996968484635
120.531216560214,34.794417443713,30.9135634339332,29.5706311411544
122.574118535811,34.8644827085439,30.9836010305505,29.6406000448405
124.617020511408,34.9335830709837,31.0526795727897,29.7096159119225
126.659922487004,35.0017324679986,31.1208121552816,29.7776910470307
128.702824462601,35.0689445453049,31.18801169918,29.8448376907559
130.745726438198,35.1352326753445,31.2542909537157,29.9110680059583
132.788628413795,35.2006099730635,31.3196624978473,29.9763940663018
134.831530389392,35.2650893097985,31.3841387419828,30.0408278466827
136.874432364989,35.3286833255279,31.4477319297673,30.1043812153022
138.917334340585,35.3914044397143,31.5104541399162,30.1670659271351
140.960236316182,35.4532648609265,31.5723172880863,30.2288936186035
143.003138291779,35.5142765954129,31.6333331287772,30.2898758032846
145.046040267376,35.5744514547627,31.6935132572505,30.3500238684981
147.088942242973,35.6338010627802,31.7528691114633,30.4093490726508
149.13184421857,35.6923368616822,31.8114119740126,30.4678625432323
151.174746194166,35.7500701177012,31.8691529740789,30.5255752753604
153.217648169763,35.8070119261791,31.9261030893701,30.5824981308012
155.26055014536,35.8631732162174,31.9822731480614,30.6386418373854
157.303452120957,35.9185647549422,32.037673830726,30.6940169887806
159.346354096554,35.9731971514323,32.0923156722575,30.7486340445421
161.389256072151,36.0270808603566,32.1462090637788,30.8025033304225
163.432158047748,36.0802261853563,32.1993642545368,30.8556350388778
165.475060023344,36.1326432822036,32.2517913537818,30.9080392297636
167.517961998941,36.184342161764,32.3035003326306,30.959725831174
